LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C529340,STM32G070RBT6,STMicroelectronics,,LQFP-64(10x10),128KB 2V~3.6V ARM Cortex-M0 36KB 64MHz FLASH 59 LQFP-64(10x10)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS,YES,4,1\1,1.019800,4.08
C2969792,SPV1040T,STMicroelectronics,,TSSOP-8,5.5V TSSOP-8  Battery Management ICs ROHS,YES,2,1\1,5.318500,10.64
C668956,MBRX120LF-TP,MCC(Micro Commercial Components),,SOD-123,20V 320mV@1A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS,YES,20,5\5,0.102400,2.05
C727114,1N5817WS,TWGMC,,SOD-323,20V Single 750mV@3A 1A SOD-323  Schottky Barrier Diodes (SBD) ROHS,YES,20,20\20,0.022900,0.46
C239243,GPS1003,Rainsun microwave Tech,,SMD," SMD  Antennas ROHS",YES,3,1\1,1.112100,3.34
C285966,CPY160808T-2R2T-NP,Chilisin Elec,,0603,1A 2.2uH ±30% 200mΩ 0603  Inductors (SMD) ROHS,YES,40,20\20,0.028400,1.14
C432377,50ZLJ27M5X11,Rubycon,,"Plugin,D5xL11mm","27uF 50V ±20% Plugin,D5xL11mm  Aluminum Electrolytic Capacitors - Leaded ROHS",YES,10,10\10,0.056100,0.56
C85713,CL10A106MP8NNNC,Samsung Electro-Mechanics,,0603,10V 10uF X5R ±20% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,100\100,0.005700,0.57
C106729,EWH1CM680D11OT,AISHI(Aihua Group),,"Plugin,D5xL11mm","68uF 16V ±20% Plugin,D5xL11mm  Aluminum Electrolytic Capacitors - Leaded ROHS",YES,20,20\20,0.018900,0.38
C2980395,V475K0603X5R100NDT,VIIYONG,,0603,10V 4.7uF X5R 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,100\100,0.005400,0.54
C14665,CC0603JRNPO9BN101,YAGEO,,0603,50V 100pF NP0 ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,100\100,0.002300,0.23
C1035,SDFL1608S100KTF,Sunlord,,0603,3mA 10uH ±10% 1.85Ω 0603  Inductors (SMD) ROHS,YES,50,50\50,0.010300,0.52
C29683,SDCL1608C47NJTDF,Sunlord,,0603,300mA 47nH ±5% 700mΩ 0603  Inductors (SMD) ROHS,YES,50,50\50,0.007600,0.38
C4748724,AO3401-ED,HXY MOSFET,,SOT-23(TO-236),"20V 3A 110mΩ@10V,2A 0.7W P Channel SOT-23(TO-236)  MOSFETs ROHS",YES,20,20\20,0.019100,0.38
C308696,DTC143ZEBTL,ROHM Semicon,,SC-89,"80@10mA,5V 1 NPN - Pre Biased 150mW 100mA 50V 500nA SC-89  Digital Transistors ROHS",YES,20,20\20,0.012500,0.25
C270882,1210W2F0000T5E,UNI-ROYAL(Uniroyal Elec),,1210,500mW Thick Film Resistors ±800ppm/℃ ±1% 0Ω 1210  Chip Resistor - Surface Mount ROHS,YES,50,50\50,0.011300,0.57
C22978,0603WAF3301T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 3.3kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.001000,0.10
C25353,1206W4J0151T5E,UNI-ROYAL(Uniroyal Elec),,1206,250mW Thick Film Resistors ±100ppm/℃ ±5% 150Ω 1206  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.002200,0.22
C3000537,FRC1206F90R9TS,FOJAN,,1206,250mW Thick Film Resistors ±100ppm/℃ ±1% 90.9Ω 1206  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.002700,0.27
C25468,25121WF330LT4E,UNI-ROYAL(Uniroyal Elec),,2512,1W Thick Film Resistors ±800ppm/℃ ±1% 330mΩ 2512  Chip Resistor - Surface Mount ROHS,YES,10,10\10,0.037000,0.37
C3017672,SCR0603J910K,VO,,0603,±5% 910kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.000800,0.08
C98220,RC0603FR-0710KL,YAGEO,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 10kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.001000,0.10
C2930143,FRC0603F1504TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 1.5MΩ 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.001200,0.12
C22859,0603WAF100JT5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors ±1% ±400ppm/℃ 10Ω 0603  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.001000,0.10
C295075,XIHCELNANF-16MHZ,TAITIEN Elec,,HC-49S,16MHz null ±30ppm HC-49S  Crystals ROHS,YES,5,5\5,0.094200,0.47
C140782,GRM188R60J476ME15D,Murata Electronics,,0603,6.3V 47uF X5R ±20% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,10,5\5,0.065600,0.66
